Age,Income,Outage_sec_perweek,Contacts,Yearly_equip_failure,Tenure,Bandwidth_GB_Year,Age,Gender_Male,Gender_Nonbinary,Area_Suburban,Area_Urban,InternetService_Fiber Optic,InternetService_None,Phone_Yes,OnlineSecurity_Yes,DeviceProtection_Yes,StreamingMovies_Yes,OnlineBackup_Yes
53,34953.83,5.416477,0,0,15.56801,1752.77238,53,1,0,0,1,1,0,1,0,1,1,0
63,39569.78,9.333686,0,1,54.07728,4605.854101,63,0,0,0,1,0,1,1,1,1,0,0
62,32383.92,13.74408,2,0,3.033312,618.6284163,62,1,0,0,1,1,0,1,1,0,1,0
32,59960.0,9.638076,0,0,8.324111,1629.696337,32,0,0,1,0,0,0,1,0,0,1,1
34,186035.04,7.419287002,2,0,2.258852671,1548.705967,34,1,0,1,0,0,0,1,1,0,1,0
68,94520.02,3.507354765,1,0,7.243986575,708.0622854,68,0,0,1,0,1,0,1,1,0,0,0
75,4640.91,8.177195,4,0,55.04679,5588.672503,75,0,0,0,0,0,0,1,1,1,1,0
21,19017.34,12.03501573,1,0,9.841085026,1495.341126,21,1,0,0,0,0,1,1,0,0,1,1
81,1441.97,11.28908676,0,1,8.006997906,1233.807825,81,0,0,0,1,0,0,1,1,0,0,0
19,42381.63,9.741873,1,0,58.10724,5672.753791,19,0,0,0,1,0,1,1,1,1,1,1
22,103625.1,10.2793,1,0,70.30403,6069.194377,22,0,0,0,0,1,0,1,0,0,1,0
51,31592.8,15.22636,0,0,4.529842,726.5900328,51,1,0,1,0,0,1,1,0,1,0,0
49,27976.63,12.76603868,2,1,11.77389421,1129.529441,49,0,0,1,0,0,1,1,0,0,0,1
20,48323.96,11.00542,2,0,62.82563,5718.653054,20,1,0,0,0,1,0,1,0,1,0,1
58,5003.87,11.14927,1,1,65.0113,5675.878459,58,1,0,0,1,1,0,1,1,0,0,0
69,58077.38,10.68311773,1,1,14.46288204,1806.135733,69,1,0,0,1,0,1,0,0,1,1,1
33,41074.27,12.39276,2,0,55.11933,5052.938652,33,0,0,0,1,1,0,1,1,1,0,1
64,51338.06,9.305287,0,0,67.73415,6699.368513,64,1,0,1,0,0,0,1,0,1,1,1
76,35825.11,12.10925,0,0,43.86844,3992.718989,76,1,0,0,1,0,1,1,0,1,0,1
68,41111.2,1.636634,0,0,48.10173,4790.240813,68,1,0,1,0,0,0,1,0,0,0,1
30,25702.76,3.143798,1,0,52.16336,4993.628447,30,0,0,0,1,0,0,1,0,1,1,0
86,8792.33,9.838368,0,0,47.02083,4064.656734,86,1,0,1,0,1,0,1,0,0,1,0
86,26534.16,7.868660851,2,2,7.760290062,740.010722,86,0,0,0,0,0,1,1,0,0,0,0
58,9134.48,11.20443812,2,0,17.56134872,2109.348841,58,1,0,0,1,0,1,1,0,0,1,1
25,33781.57,8.008878,1,0,60.45443,5453.05668,25,1,0,0,1,1,0,1,0,1,0,1
35,16440.05,10.8621377,1,0,12.39088509,2088.48083,35,0,1,1,0,0,0,1,0,0,1,1
63,35901.58,6.406512,2,1,63.5224,5571.995482,63,0,1,0,0,0,1,0,0,0,1,1
47,1753.08,11.76568434,1,0,2.384942381,904.5789623,47,1,0,0,1,1,0,1,0,0,1,0
54,19826.85,5.478988,0,0,50.74296,4721.806173,54,0,0,0,1,1,0,1,0,0,0,1
33,52137.85,10.12355,0,1,24.69325,2693.549899,33,1,0,1,0,0,0,0,0,0,0,0
46,43736.4,14.40171,2,0,62.33818,6201.935276,46,1,0,0,0,0,0,1,1,0,1,0
86,27069.07,11.80699,0,1,62.51438,4999.844929,86,0,0,1,0,1,0,1,0,0,0,0
24,26774.77,8.727337,0,0,68.03889,5727.737286,24,0,0,0,1,1,0,1,0,0,0,0
46,17549.51,6.838437,1,1,13.09678,1596.175795,46,1,0,1,0,0,1,0,0,1,0,1
70,92344.97,8.661994,1,1,57.87826,5361.534076,70,0,0,0,1,0,0,0,0,1,1,0
67,27822.24,10.0308,2,0,44.83431,4091.156525,67,0,0,1,0,0,1,0,0,1,0,1
86,11999.43,8.301200914,0,0,11.07083425,1136.55652,86,0,0,0,1,0,1,0,0,1,1,0
77,95454.27,5.954961,1,0,63.29423,6035.974102,77,0,0,0,1,0,0,1,0,0,1,0
29,33341.83,7.397684,1,0,43.1183,4367.354584,29,0,0,0,0,0,0,1,0,0,1,1
66,34425.39,12.85216,0,1,65.71379,6124.759369,66,0,0,0,1,0,0,1,0,1,0,0
18,104539.2,11.75171,2,3,13.90887,1738.801627,18,0,0,1,0,0,0,1,0,1,0,0
32,42635.51,7.974716,0,1,41.6814,4463.792034,32,0,0,1,0,0,0,1,0,0,1,0
86,67650.26,10.15007,0,0,65.18501,6314.079222,86,1,0,1,0,0,0,1,1,1,0,1
80,31749.22,12.74248,2,0,3.770144,382.4167858,80,1,0,0,1,1,0,1,0,0,0,1
57,43104.69,8.639261,0,0,49.99506,4636.850137,57,1,0,1,0,0,0,1,0,0,0,0
34,17638.9,11.14084,1,2,15.33595,2065.691215,34,0,0,0,1,0,0,0,0,1,1,0
63,37639.9,10.93132736,0,0,8.344516765,667.4764252,63,0,0,0,1,1,0,1,0,0,0,0
26,20680.56,11.98417084,1,1,14.91152829,2193.593711,26,1,0,1,0,0,0,1,1,0,0,1
86,143217.5,11.24506,2,0,17.20502,2089.469335,86,1,0,0,1,0,0,1,0,1,1,0
23,22588.39,13.60153,3,1,11.12081,1321.610648,23,0,0,0,0,1,0,1,1,1,0,1
18,31397.21,10.94596,1,0,51.98679,4723.305276,18,1,0,0,0,1,0,0,0,1,0,0
31,112097.3,15.07177,0,2,48.25953,4843.627918,31,0,0,1,0,0,0,1,0,0,1,1
54,30332.37,9.58651,1,0,69.36054,6605.569716,54,1,0,1,0,0,0,1,1,1,0,0
38,38862.22,11.39353,1,1,19.28984,1904.865627,38,0,1,1,0,1,0,1,0,0,1,0
41,30357.64,7.315918,3,3,57.36298,5222.664785,41,1,0,1,0,0,1,0,0,1,1,1
73,19146.42,10.51064826,0,1,4.898445616,1284.667114,73,0,0,0,1,0,0,1,0,0,1,0
61,34567.24,17.24156,0,1,45.72931,4013.312414,61,0,0,0,0,1,0,1,1,0,1,0
62,2772.21,0.3550483,2,0,7.457111,1109.681229,62,0,0,0,0,1,0,1,0,1,1,0
81,1179.53,11.14827,2,0,21.58352,1988.072662,81,0,0,0,1,1,0,1,0,0,1,1
47,46701.02,6.071604,1,0,43.2487,4231.393427,47,1,0,0,0,1,0,1,1,0,1,0
39,25368.71,8.6548926,0,0,4.672608309,1093.673208,39,0,0,0,1,0,0,1,1,0,1,0
58,28333.29,9.315925,2,0,59.16197,5155.773559,58,0,0,0,0,1,0,1,0,1,1,1
53,38691.84,6.89303513,5,0,3.835182255,641.4963126,53,0,0,1,0,1,0,1,0,1,1,0
25,27102.45,11.61411,0,1,12.86853,1580.727843,25,0,0,1,0,0,1,1,0,0,1,1
73,6034.69,10.80599,2,0,70.33871,5718.68358,73,0,0,0,0,1,0,1,0,0,0,0
48,70133.7,10.87926101,2,0,8.730405893,1880.78289,48,1,0,1,0,0,0,1,1,0,1,1
27,81803.03,14.63754555,0,0,10.34247598,1671.469773,27,1,0,0,1,0,0,1,0,0,0,0
38,49277.48,12.81260566,1,0,19.48900163,1974.780054,38,0,0,1,0,1,0,1,1,0,0,0
74,66489.98,10.70006,4,0,61.53436,5373.367053,74,0,0,0,0,1,0,1,0,1,0,0
38,26393.06,6.256431,0,1,63.28097,5414.545503,38,0,1,0,1,1,0,1,1,0,0,0
65,9539.0,11.47074,0,0,48.2368,4363.777277,65,1,0,1,0,1,0,1,0,1,1,0
57,40460.35,13.32211645,0,0,9.195415365,1321.204826,57,0,0,1,0,1,0,1,0,0,1,0
76,41753.09,7.838764,2,0,67.21909,6255.953775,76,1,0,1,0,1,0,1,1,0,1,1
71,13642.29,13.94164,0,0,7.891654,985.2729584,71,0,0,0,0,1,0,1,0,0,1,1
31,21071.67,11.09958,0,1,43.55176,4181.937026,31,1,0,1,0,1,0,0,0,1,0,1
58,42027.65,7.723994889,0,0,8.571860106,1170.35317,58,0,0,0,0,0,0,1,0,1,0,0
66,6284.19,9.217002771,0,0,16.64092048,1777.880577,66,0,1,0,0,0,0,1,0,0,0,0
27,49497.16,15.81274,0,1,4.72236,865.1029349,27,1,0,1,0,1,0,1,0,0,0,0
81,69965.65,6.081975067,0,0,12.25062113,1095.950634,81,1,0,0,0,0,1,1,0,1,0,0
38,54349.75,14.04748759,0,1,6.73327535,854.2977548,38,0,1,0,0,0,1,1,0,1,0,1
24,118120.16,12.61644158,0,0,11.58448327,2054.101088,24,1,0,0,0,0,0,1,1,0,1,1
78,41637.08,9.542495,3,2,5.933094,786.1863432,78,0,1,1,0,1,0,1,1,0,0,0
49,52875.82,10.83227898,1,0,5.759571228,1251.370845,49,1,0,0,0,1,0,1,1,0,1,1
71,15666.43,12.72884,1,0,14.61014,1882.950851,71,1,0,0,0,0,0,1,0,0,0,0
72,55708.35,11.95403555,1,0,4.248159714,682.4871065,72,0,0,0,0,1,0,1,1,1,0,0
61,84478.95,10.43043,0,0,8.06514,866.9483546,61,1,0,1,0,1,0,1,0,0,0,0
26,50556.0,9.091231,0,0,66.94572,5873.574766,26,1,0,0,0,1,0,1,0,0,1,0
59,97916.45,12.48949,1,0,59.05725,5888.86414,59,1,0,0,0,0,0,1,0,0,1,1
23,113511.5,9.256725,1,0,3.684683,386.0205317,23,0,0,0,0,1,0,1,0,0,0,0
77,10744.48,13.3429,0,1,20.10599,2595.464531,77,1,0,1,0,0,0,1,0,0,1,0
69,44042.94,14.90722,0,0,64.07956,5655.455765,69,0,0,1,0,1,0,1,0,1,0,1
81,14623.21,8.888970383,1,1,4.245035615,1083.381195,81,0,0,1,0,0,0,1,1,1,0,0
48,58634.05,11.32314,1,0,49.19922,4459.144157,48,1,0,1,0,1,0,1,0,1,0,1
55,81140.88,12.40678,0,1,46.92377,4583.54052,55,0,0,0,1,0,0,0,0,0,1,1
62,49939.39,6.398169663,2,0,3.032321354,693.358004,62,0,0,0,1,1,0,1,1,1,1,0
76,54883.0,12.81224,0,1,9.121337,770.7911152,76,1,0,0,1,1,0,1,0,0,0,0
37,30090.22,10.51097693,2,0,8.255617012,1917.60124,37,1,0,0,1,0,0,1,1,1,1,1
24,8507.97,9.518819692,3,0,9.001231999,1852.503069,24,0,0,0,1,0,0,1,1,0,1,1
37,76990.4,8.156206,1,1,4.540275,769.9868737,37,0,0,0,0,1,0,1,1,1,0,0
71,36171.71,9.638183,2,0,54.78051,5151.21569,71,1,0,0,0,0,0,1,1,0,0,0
77,25156.74,3.483945,2,0,71.09119,6469.597429,77,0,0,0,0,0,0,1,0,0,1,0
30,72270.25,0.120057716,1,1,4.777862937,1464.442974,30,1,0,0,1,0,0,1,1,1,0,0
29,7596.94,10.93778,0,1,71.37293,6227.163207,29,1,0,1,0,0,1,1,1,1,0,0
77,54548.92,9.987264,1,2,60.87582,5536.195731,77,1,0,1,0,1,0,1,1,0,1,0
88,63304.25,12.35525457,1,0,5.260793737,855.939459,88,1,0,0,0,0,1,1,0,1,0,0
49,14235.87,6.536395,2,0,56.73689,5006.557282,49,1,0,0,1,1,0,1,0,1,0,0
29,20544.64,7.924814,1,0,65.68601,5779.189603,29,0,0,1,0,0,1,1,1,0,0,0
68,28371.99,9.628199,1,0,64.52906,5587.309027,68,0,0,0,1,1,0,1,1,0,0,0
49,38524.15,7.3642,1,0,41.27155,3550.827248,49,0,0,0,0,1,0,1,0,0,0,1
27,9856.89,10.80585,2,0,2.984004,1091.509603,27,1,0,0,1,0,0,1,0,1,0,0
47,18374.83,13.10764,1,0,40.24438,3857.992654,47,1,0,1,0,1,0,1,0,0,0,0
52,131500.47,12.40982989,1,1,16.66213522,1943.761302,52,1,0,1,0,1,0,1,0,1,1,0
51,40926.0,9.180475,1,0,52.3021,4698.191872,51,1,0,0,0,0,1,1,0,1,0,0
31,29539.51,10.16935,0,0,18.32428,1747.20978,31,0,0,0,0,1,0,1,0,1,0,0
78,49914.94,6.40204,1,1,52.66362,4648.186854,78,0,0,0,0,0,1,1,1,0,0,0
71,11091.71,9.779993,2,0,44.92225,4291.029972,71,1,0,0,1,0,1,1,0,1,1,1
36,25598.66,16.60350748,2,1,11.59782994,1210.450532,36,0,0,0,0,1,0,0,0,1,0,0
26,60826.49,11.90071,1,0,11.32663,1308.744827,26,0,0,1,0,0,1,1,0,1,1,0
30,72449.84,11.25272,3,0,48.24454,4647.63715,30,1,0,0,1,1,0,1,0,0,1,1
25,32005.71,9.736531,1,0,20.91805,2523.250672,25,0,0,0,0,0,0,1,0,0,0,0
82,20706.43,13.91677,1,1,69.03413,6206.957458,82,1,0,0,1,0,0,1,0,0,1,0
19,23299.98,10.09307939,1,1,23.956929,2653.32821,19,0,0,0,0,0,1,1,0,1,0,0
28,14959.35,7.954417,2,0,6.460792,627.880394,28,0,0,1,0,0,1,1,0,0,0,0
41,17089.71,4.280086,3,0,8.619877,1687.301468,41,0,0,0,1,0,0,1,0,1,1,0
57,47514.11,8.89730623,0,1,13.24581884,1171.036365,57,1,0,0,0,1,0,1,0,0,0,0
88,18474.89,6.575864,4,1,58.52876,5045.986552,88,0,0,1,0,1,0,0,0,1,0,1
77,17893.93,4.248599,0,0,65.77898,5756.842503,77,1,0,0,0,0,1,1,0,0,0,1
28,18966.81,9.905787776,1,0,2.81822785,785.6266383,28,1,0,0,0,1,0,1,0,1,1,1
36,21345.51,8.245298,0,1,4.564096,1113.404715,36,0,0,0,0,0,0,1,0,0,1,1
87,21020.26,12.42426,0,0,64.38287,5932.680002,87,1,0,1,0,0,1,1,1,1,0,0
25,14790.79,11.97118,1,0,3.346632,847.5443814,25,1,0,1,0,0,0,1,0,0,0,0
39,15635.66,8.163008,1,0,1.703799,744.427424,39,0,0,0,0,0,0,1,0,0,1,0
63,37204.88,12.01598,1,1,6.725815,891.9183387,63,0,0,0,1,1,0,1,1,1,0,1
79,74519.58,15.41723,1,0,51.41852,4505.604532,79,0,0,0,0,1,0,1,1,1,1,0
67,50160.82,8.386358,0,0,13.17391,1179.636227,67,0,0,0,1,1,0,1,1,1,0,0
56,64916.19,6.065054,2,0,10.00078,1165.681938,56,1,0,0,0,1,0,1,0,0,0,0
55,73186.39,7.861612,1,0,70.87198,6491.987412,55,1,0,1,0,0,0,1,0,1,0,1
44,46705.86,11.10048066,2,0,9.984220981,1040.400476,44,1,0,1,0,0,1,1,0,0,0,1
39,48908.22,9.624033,3,0,64.37488,5916.705233,39,1,0,0,1,0,1,1,1,0,1,0
55,55200.2,5.649781948,2,1,4.992706522,637.7315432,55,0,0,0,1,1,0,0,0,1,0,0
59,42450.26,11.96125,1,0,3.545553,1060.105051,59,1,0,0,1,0,0,1,1,0,0,0
78,16720.22,7.231501,2,1,3.488459,1023.807054,78,0,0,0,0,1,0,0,0,1,1,0
39,31680.79,11.12098,1,2,63.05008,5530.421045,39,0,0,0,1,1,0,0,1,0,0,0
85,52397.9,3.801012,2,0,68.59473,6749.102107,85,0,0,1,0,0,0,1,1,1,0,1
47,40668.61,5.730434,1,0,12.05486,1406.621323,47,0,0,0,1,1,0,1,0,1,1,0
30,9336.09,14.27424,1,0,14.01692,2099.82555,30,0,0,1,0,0,0,1,0,1,1,1
27,22112.77,7.021583,0,0,54.21518,4787.756156,27,1,0,0,0,0,1,1,0,1,0,0
69,48722.63,8.780902,0,0,62.30892,5409.075897,69,1,0,1,0,1,0,1,0,0,0,0
77,41756.12,9.018827,0,0,68.90605,6904.05739,77,0,0,0,0,0,0,1,1,1,1,1
80,32964.42,6.794031,0,0,10.58401,1174.511172,80,0,0,0,0,1,0,1,0,1,0,1
89,34534.92,8.571698,1,0,62.58001,5390.61261,89,0,0,0,0,1,0,1,0,0,0,0
89,33406.38,9.677547,1,0,8.925564,1391.823736,89,0,0,0,1,0,0,0,0,1,0,1
48,26404.76,11.41922534,0,0,23.27091932,2764.347068,48,1,0,1,0,0,0,1,1,0,1,1
56,83923.73,11.80835,1,0,15.06815,1516.686884,56,0,0,0,0,0,1,1,1,0,0,0
58,51755.55,7.527191,1,0,7.33513,1117.392471,58,0,0,0,1,0,0,1,0,0,0,0
41,12021.28,9.753602,1,1,9.031197,1109.677542,41,0,0,1,0,0,1,1,0,0,0,1
48,10776.83,6.411316,0,0,67.0374,6265.43461,48,0,1,0,1,0,0,1,0,0,1,1
29,8068.23,9.92206,1,0,69.90673,6470.044027,29,1,0,1,0,0,0,1,0,1,0,0
31,26624.15,9.972162,0,1,59.6238,5755.570849,31,0,0,1,0,1,0,1,0,0,1,1
81,68426.04,9.128286,2,0,16.55879,2509.367174,81,0,0,1,0,0,0,1,1,1,1,1
21,20498.13,9.453897,1,0,57.31296,5166.505296,21,0,1,0,0,1,0,1,0,1,0,0
70,37394.14,6.744374,0,0,67.16748,6185.878482,70,0,0,0,1,0,0,0,0,1,1,1
76,18231.57,10.52034,3,0,13.57249,1541.284939,76,0,0,0,0,0,1,1,0,0,1,0
63,15423.53,12.18665298,0,1,15.71428993,1579.867444,63,1,0,1,0,1,0,1,1,1,0,0
41,9789.41,12.18386,1,0,55.58159,4665.934869,41,1,0,0,0,1,0,1,0,0,0,0
67,28757.7,15.1263,0,0,61.09569,5591.052659,67,0,0,0,1,1,0,1,0,1,1,0
30,17492.71,9.977086,2,0,6.818283,1280.44084,30,1,0,0,0,1,0,1,1,1,1,1
20,29599.71,10.64008,0,2,62.2937,5896.135561,20,0,0,0,1,1,0,1,0,1,1,1
31,55913.69,8.341462,3,1,59.05164,5701.481448,31,0,0,1,0,0,1,1,0,1,1,1
24,26942.28,11.06173556,1,1,4.676474348,1396.347808,24,0,0,1,0,0,0,1,0,0,1,0
30,29388.05,9.784614,1,1,64.28075,5851.532323,30,1,0,0,0,0,1,1,0,0,1,0
26,5277.14,12.08255,0,1,66.60339,5717.95214,26,0,0,0,0,1,0,1,0,0,0,1
48,52772.29,7.669681,0,0,42.47353,4549.826317,48,0,0,0,1,0,0,1,0,0,1,1
44,43141.58,10.52838,1,0,70.9092,6127.202373,44,0,0,0,0,1,0,1,1,0,0,0
77,48079.33,8.415408,2,0,14.75827,1524.896385,77,1,0,0,1,1,0,0,1,1,0,1
73,64333.09,7.715579,3,0,53.83688,4633.252261,73,0,0,1,0,0,1,1,1,0,0,0
62,27568.88,9.361228,3,0,67.76809,5676.566637,62,0,0,0,0,1,0,1,1,0,0,0
42,15550.44,11.06803,1,0,70.55657,6180.701125,42,0,0,0,0,0,1,1,0,1,0,0
37,30049.79,7.775248,2,1,43.04477,3905.467558,37,0,0,1,0,1,0,1,0,0,0,1
57,33692.36,10.58605,1,1,71.53791,6766.152872,57,0,0,0,1,0,0,1,0,0,0,0
22,85180.31,8.799383,1,0,17.22292,1769.609462,22,0,0,0,0,0,1,1,1,0,0,0
74,48478.65,6.224191,0,0,65.49323,6135.141648,74,0,0,0,1,0,0,1,0,0,1,1
38,20753.51,13.1574,4,0,58.1358,5582.271342,38,1,0,0,1,0,0,1,0,0,0,0
26,14472.75,6.067007,0,1,64.58418,5619.82827,26,0,0,0,0,1,0,1,0,0,1,1
60,10326.69,9.509801,0,0,68.37019,6752.652755,60,0,0,1,0,0,0,1,0,1,1,1
64,27549.98,8.76848,2,0,10.59517,1587.727149,64,0,0,0,1,0,0,1,0,0,1,1
